Q7742899	associatedBand	Q1951576
Q5521217	associatedMusicalArtist	Q301988
Q2614533	instrument	Q6607
Q504564	ideology	Q211930
Q936479	associatedBand	Q4952056
Q14935456	country	Q408
Q707993	isPartOf	Q764294
Q1166197	instrument	Q78987
Q191356	language	Q21200
Q1378188	occupation	Q36180
Q579332	country	Q30
Q234076	education	Q1727138
Q4598261	currentMember	Q372272
Q19900	product	Q19900
Q1068093	related	Q3292845
Q286364	formerBandMember	Q1340704
Q191702	battle	Q361
Q509801	ground	Q77
Q8054218	recordLabel	Q3338703
Q7937916	class	Q4867740
Q197864	ideology	Q11900614
Q19866569	starring	Q158957
Q3719134	genre	Q852767
Q575126	daylightSavingTimeZone	Q2086913
Q156255	hometown	Q1055
Q598026	genre	Q38848
Q7297243	race	Q6784283
Q952835	genre	Q83440
Q699557	managerClub	Q193749
Q663707	thirdTeam	Q173003
Q1386741	birthPlace	Q1297
Q2000624	state	Q1207
Q2288670	associatedMusicalArtist	Q754323
Q5076383	education	Q1921431
Q830073	recordedIn	Q193639
Q2347805	deathPlace	Q142
Q847606	timeZone	Q604055
Q532636	class	Q165468
Q773456	genre	Q37073
Q8002873	occupation	Q822146
Q189477	keyPerson	Q1255921
Q609998	team	Q852079
Q180479	location	Q212
Q921302	locationCity	Q1204
Q7718640	recordLabel	Q11916847
Q1413694	languageFamily	Q21200
Q476388	manufacturer	Q463261
Q675860	language	Q9217
Q13422722	genre	Q377910
Q180795	birthPlace	Q794
Q785552	associatedBand	Q943934
Q296597	associate	Q57689
Q148535	family	Q7200827
Q69729	neighboringMunicipality	Q67100
Q1548159	product	Q55679
Q7913250	recordLabel	Q639182
Q15884	country	Q215
Q16206276	associatedBand	Q16223171
Q2975545	associatedMusicalArtist	Q2688743
Q18121212	commander	Q1855372
Q1138038	award	Q1276941
Q7756462	associatedMusicalArtist	Q7735396
Q1691619	genre	Q45981
Q711314	instrument	Q1463985
Q491814	associatedBand	Q1066820
Q16195276	genre	Q487914
Q244115	writer	Q4893181
Q352878	team	Q5566676
Q28787	company	Q242446
Q73971	league	Q610175
Q59169	timeZone	Q25989
Q3492582	country	Q16
Q4935426	recordLabel	Q2338889
Q18922577	associatedBand	Q165911
Q296008	almaMater	Q160302
Q7273147	regionServed	Q816
Q2270524	guest	Q270770
Q832745	recordLabel	Q3629023
Q272239	associatedMusicalArtist	Q1883965
Q2865256	predecessor	Q3524960
Q983613	nationality	Q16259221
Q7742435	associatedBand	Q290270
Q756173	locationCity	Q23556
Q1968723	field	Q160039
Q56194	starring	Q103946
Q3058202	religion	Q483654
Q264550	associatedMusicalArtist	Q2670299
Q747332	recordLabel	Q389284
Q930186	battle	Q696848
Q1684482	recordLabel	Q1542119
Q2915395	recordLabel	Q2142601
Q24006727	team	Q721134
Q7501113	musicalBand	Q1035077
Q6298178	occupation	Q639669
Q1248358	company	Q47099
Q335369	musicalArtist	Q733400
Q5437343	associatedBand	Q342447
Q15242629	isPartOf	Q1291836
Q449238	spouse	Q270533
Q146790	country	Q17
Q1073929	timeZone	Q941023
Q5550881	family	Q158717
Q7239711	team	Q585958
Q1568337	developer	Q2283
Q2563019	associatedBand	Q526132
Q4439915	location	Q1198
Q329163	birthPlace	Q17042
Q24260006	battle	Q2887827
Q6403599	associatedMusicalArtist	Q45667
Q143565	family	Q134858
Q7803494	primeMinister	Q51330
Q300447	producer	Q61679
Q6219354	birthPlace	Q145
Q193689	place	Q1761
Q6389975	honours	Q182625
Q4771949	birthPlace	Q1445
Q1423756	type	Q1075106
Q1153158	associatedBand	Q42025
Q477863	usedInWar	Q1361929
Q5463897	associatedMusicalArtist	Q6078
Q1893077	type	Q1780506
Q604940	associatedBand	Q862520
Q1211297	ingredient	Q23425
Q979778	successor	Q370181
Q606125	associatedBand	Q859139
Q1934306	kingdom	Q729
Q2815924	battle	Q152218
Q17427	headquarter	Q956
Q6159954	birthPlace	Q1378786
Q715402	associatedBand	Q239786
Q61077	largestCity	Q79924
Q638859	athletics	Q271805
Q267572	associatedBand	Q463296
Q7770127	recordLabel	Q38903
Q852773	phylum	Q10915
Q145480	associatedBand	Q180004
Q7448538	honours	Q3528974
Q14715914	owner	Q5380195
Q18947183	writer	Q18580236
Q1520989	instrument	Q175391
Q2348236	hometown	Q771
Q169339	location	Q145
Q2878029	musicalArtist	Q189758
Q3536337	locationCountry	Q668
Q352878	team	Q204238
Q1752901	commander	Q91
Q18920	genre	Q9730
Q162615	timeZone	Q25989
Q5595149	genre	Q753679
Q59169	isPartOf	Q214041
Q2653151	associatedMusicalArtist	Q173180
Q947955	recordLabel	Q240804
Q216649	district	Q810056
Q5262108	associatedBand	Q630240
Q3038706	race	Q55629
Q381074	genre	Q973150
Q289324	race	Q6825110
Q211573	stylisticOrigin	Q9759
Q1877355	genre	Q3071
Q887630	militaryBranch	Q9212
Q109457	largestCity	Q982379
Q730	leader	Q57667
Q1358670	team	Q643042
Q158271	order	Q338878
Q257237	birthPlace	Q1581
Q888281	successor	Q465295
Q16232508	associatedMusicalArtist	Q16221137
Q8023688	race	Q7417658
Q1174535	birthPlace	Q661529
Q15548291	location	Q84
Q4596196	commandStructure	Q1778866
Q6162757	genre	Q5128236
Q939550	occupation	Q33999
Q2092859	musicalArtist	Q158895
Q833322	creator	Q3430982
Q1389086	producer	Q967851
Q487999	isPartOf	Q488826
Q4550456	battle	Q860220
Q14924805	producer	Q7369245
Q248207	associatedMusicalArtist	Q43874
Q287486	instrument	Q128309
Q2080964	isPartOf	Q54177
Q449916	deathPlace	Q145
Q1136235	associatedMusicalArtist	Q1317474
Q878368	managerClub	Q655059
Q950580	industry	Q11023
Q158223	associatedMusicalArtist	Q720722
Q44767	associatedMusicalArtist	Q438460
Q6982532	birthPlace	Q1186
Q355201	philosophicalSchool	Q183216
Q109417	team	Q32494
Q312701	mainInterest	Q9174
Q57476	birthPlace	Q1042
Q3068600	associatedBand	Q47122
Q333589	otherParty	Q705368
Q1127530	instrument	Q8338
Q836414	formerBandMember	Q2165958
Q1691407	associatedMusicalArtist	Q3259771
Q187165	associatedMusicalArtist	Q83431
Q392768	associatedBand	Q192843
Q323499	associatedMusicalArtist	Q234017
Q164358	training	Q880447
Q884131	recordLabel	Q639182
Q699557	managerClub	Q726080
Q189393	order	Q747502
Q953336	occupation	Q11634
Q475700	type	Q875538
Q24313	almaMater	Q5649375
Q1753500	recordLabel	Q1023727
Q375268	movement	Q878985
Q15024	almaMater	Q49127
Q3561554	genre	Q1507298
Q2075935	recordLabel	Q202440
Q8853457	managerClub	Q18520
Q116736	deathPlace	Q419
Q1959559	recordLabel	Q960732
Q7957073	broadcastNetwork	Q2116341
Q844331	operator	Q18208626
Q3183239	associatedMusicalArtist	Q2712704
Q21077	owner	Q126399
Q525733	birthPlace	Q2007
Q17140	associatedMusicalArtist	Q212464
Q5556580	associatedMusicalArtist	Q708158
Q5217530	recordLabel	Q5190314
Q1683255	hometown	Q3410
Q261990	genre	Q2332751
Q140497	ground	Q237512
Q575696	company	Q287218
Q5521217	associatedBand	Q1803687
Q811	ethnicGroup	Q106713
Q3991412	distributingLabel	Q770103
Q1626569	assembly	Q16
Q339577	genre	Q132311
Q1321179	birthPlace	Q181962
Q678631	isPartOf	Q1340642
Q16015901	region	Q498042
Q16242628	populationPlace	Q16
Q1571	spokenIn	Q1445
Q931863	associatedMusicalArtist	Q385618
Q6317804	occupation	Q214272
Q1216045	executiveProducer	Q190373
Q298255	associatedMusicalArtist	Q623921
Q7721201	associatedMusicalArtist	Q1361146
Q8028380	genre	Q2407862
Q1778436	recordLabel	Q183387
Q6989412	associatedBand	Q1208723
Q6794120	type	Q817477
Q6195146	team	Q1571078
Q726042	producer	Q240523
Q491479	country	Q30
Q5622869	starring	Q313049
Q7239493	class	Q1390
Q938043	genre	Q547137
Q1396413	hometown	Q342803
Q7824536	related	Q3630080
Q1113762	commander	Q9682
Q2546246	party	Q241149
Q587184	hometown	Q755559
Q5026200	deathPlace	Q21
Q976341	bandMember	Q314535
Q1925098	country	Q30
Q1807009	previousWork	Q989611
Q6849834	associatedMusicalArtist	Q915447
Q838009	recordLabel	Q3001888
Q1367219	associatedMusicalArtist	Q488916
Q49193	type	Q515
Q2539570	locationCountry	Q403
Q386727	recordLabel	Q778792
Q1743419	residence	Q3787
Q6918590	district	Q190406
Q6479638	recordLabel	Q818134
Q5536250	team	Q610447
Q278366	birthPlace	Q30
Q1522776	pictureFormat	Q244581
Q852645	isPartOf	Q1439
Q20720663	ground	Q3646
Q1556307	leaderName	Q302417
Q60	timeZone	Q941023
Q983676	deathPlace	Q956
Q1338233	region	Q513878
Q945332	starring	Q113883
Q635813	associatedBand	Q58207
Q2902337	associatedBand	Q1052019
Q2296261	isPartOf	Q1164890
Q156117	kingdom	Q756
Q2712027	associatedMusicalArtist	Q185144
Q521051	birthPlace	Q2871
Q269909	successor	Q333276
Q670335	genre	Q1641839
Q489103	genre	Q180268
Q5518860	award	Q4743348
Q7629759	race	Q7423349
Q211703	isPartOf	Q181882
Q1463792	country	Q30
Q6387446	occupation	Q627325
Q459146	restingPlace	Q7824339
Q741316	recordLabel	Q664167
Q209988	timeZone	Q25989
Q46492	type	Q423208
Q556098	athletics	Q2842604
Q4189	birthPlace	Q36074
Q1399435	associatedBand	Q1402768
Q810508	timeZone	Q30192
Q289112	league	Q672305
Q1548798	religion	Q9268
Q1191549	timeZone	Q843589
Q731758	associatedBand	Q510370
Q485893	associatedMusicalArtist	Q332032
Q672432	associatedMusicalArtist	Q686550
Q841559	place	Q209065
Q77148	mainInterest	Q7163
Q236497	associatedBand	Q2670582
Q1151105	subregion	Q1110765
Q298726	instrument	Q6607
Q7738775	language	Q150
Q2679481	country	Q36
Q313545	birthPlace	Q779
Q677927	writer	Q344822
Q263108	genre	Q11366
Q3986455	musicalBand	Q863573
Q16058107	sisterStation	Q3524101
Q9434	award	Q1973671
Q229881	genre	Q206159
Q262502	genre	Q4209421
Q716351	type	Q247073
Q21063871	associatedMusicalArtist	Q837300
Q585420	timeZone	Q207020
Q1426990	associatedMusicalArtist	Q201207
Q5879	deathPlace	Q3955
Q144880	type	Q1234255
Q2331674	genre	Q83270
Q16120	type	Q15089
Q810361	country	Q212
Q5129374	deathPlace	Q99
Q2514028	hometown	Q36312
Q5476558	sisterStation	Q2014847
Q19840044	profession	Q1930187
Q16997241	format	Q1195242
Q4782	isPartOf	Q692912
Q13219920	starring	Q232397
Q334990	militaryBranch	Q2778989
Q367469	stateOfOrigin	Q30
Q7515272	associatedBand	Q477696
Q2464819	deathCause	Q10737
Q4931908	hometown	Q21
Q2276196	occupation	Q13590141
Q7088327	associatedBand	Q11036
Q254371	associatedBand	Q1468680
Q240371	hometown	Q60
Q1912366	associatedBand	Q2808
Q938323	associatedBand	Q27593
Q3237695	populationPlace	Q176
Q6271434	instrument	Q6607
Q302400	genre	Q83440
Q169001	country	Q225
Q6718665	sisterStation	Q117572
Q1387188	position	Q239738
Q157879	editing	Q513939
Q313704	occupation	Q488205
Q2708142	nationality	Q842438
Q236735	genre	Q235858
Q259002	team	Q2310295
Q862074	associatedMusicalArtist	Q130742
Q197050	isPartOf	Q775
Q1334434	genre	Q11366
Q296426	location	Q628095
Q893007	genre	Q164444
Q558118	associatedMusicalArtist	Q200791
Q2422424	broadcastArea	Q811
Q17009832	broadcastArea	Q921
Q54173	product	Q43015
Q309843	birthPlace	Q18424
Q455474	associatedBand	Q5245804
Q291754	occupation	Q488205
Q313868	associatedMusicalArtist	Q982872
Q2292413	musicalArtist	Q76901
Q15040027	race	Q7194660
Q3521651	creator	Q2576503
Q1017738	timeZone	Q6940
Q520191	starring	Q235467
Q470092	birthPlace	Q16
Q457634	deathPlace	Q2256
Q6247067	restingPlace	Q88
Q2536351	publisher	Q122741
Q34166	associatedBand	Q1037763
Q1969838	instrument	Q8350
Q468456	associatedBand	Q3548850
Q2066774	genre	Q1298934
