Shape,Result,Number,Time
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,653,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,953,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,106,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,613,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,9,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,922,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,461,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1906,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,247,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,333,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1521,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1759,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1136,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2080,13.286144733428955
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,856,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,700,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1599,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,155,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1538,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,543,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1876,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1683,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,934,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1870,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,691,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,175,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,857,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1272,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,525,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1372,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1726,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1797,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,545,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1463,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,153,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1553,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1790,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1010,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,434,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1021,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,7,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,246,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,199,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1479,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,534,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1697,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2125,13.286144733428955
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1047,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,617,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1005,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1493,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,533,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,626,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,293,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,731,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1020,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,78,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1458,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,102,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1284,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,203,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,389,13.281151056289673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1254,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2017,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1832,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,835,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1290,13.283152103424072
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,157,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,136,13.28014874458313
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1738,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2148,13.286144733428955
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1696,13.285112619400024
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1489,13.284149408340454
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,725,13.28214955329895
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,169,13.28014874458313
